Day,0,1,2,3,4,5
,5310.368926,3898.469817,3492.451006,6017.946961,3999.97503,5632.186509
,5147.41826,1207.462626,3553.723651,2599.218481,1757.022274,6090.087168
,4291.570226,5825.0243,1308.226912,5909.451766,4843.396467,2882.730546
,4868.047107,3165.811009,5136.688629,2295.683401,5789.249343,5764.648425
,2321.802364,2871.714332,3785.421433,4827.09724,3088.612387,3073.404843
,2082.353993,2149.544788,2461.403177,5283.314955,4371.91483,4899.247232
,5594.984426,1295.320208,3659.001034,3711.56893,2836.613398,5940.680645
,2014.562852,3394.39847,6123.814065,4178.905252,5662.373712,2541.719799
,3851.224549,6114.903793,4182.800778,4700.116389,5738.468359,5602.081774
,2129.317872,5706.135436,3628.973933,4963.859539,3722.629088,2208.554749
,5177.683053,2302.170927,1532.767193,3425.073258,3502.945671,2520.085933
,3310.01465,1643.505118,1619.536702,2831.726181,3993.749695,4626.430372
,1440.028727,1491.824249,3495.63671,5644.143913,5114.378015,5901.136703
,2399.784573,3871.029085,1587.530151,5378.109525,1495.675853,1342.607461
,1510.898965,3357.022275,3906.66556,5726.679071,2154.714487,3804.215356
,2033.579894,2407.269668,6014.291344,4743.485966,4758.387619,4842.700036
,5397.37036,3818.802558,2384.172177,5077.863162,2717.11074,1458.882756
,3405.841661,3893.854484,1776.159969,3763.035236,4486.554987,3960.047865
,3320.084021,3140.204436,5178.502008,3858.959386,1093.360618,3335.549664
,4327.876795,4125.049204,3520.80108,3566.876857,2643.694958,5185.235613
,1620.53202,5062.068234,2917.574024,5788.026493,5304.362742,2235.014924
,3041.963525,5197.004677,1795.077181,3587.779604,1612.568898,2324.30933
,3929.295077,3210.436898,3685.3373,1096.61125,1584.126795,1409.962468
,3980.391274,2616.727321,5113.120069,1255.774209,4177.461054,3703.21406
,3906.251673,1493.181722,2880.449963,4744.91152,4301.596536,1975.691686
,1811.177587,2212.465109,3103.79925,1027.958981,1542.927059,4666.627961
,1350.703119,6055.858742,1274.056526,2109.081528,2966.731563,2162.34569
,4142.299121,1286.439104,1779.840573,3877.826441,3250.600978,4008.738349
,1940.361112,3969.824174,1509.43065,2568.133702,5180.31878,4447.390747
